English,中文（採用）,別稱,來源
Norman Pogson,普森,,牛津 Book E1 Ch3
north celestial pole,北天極,,EDB 2020
north pole,北極,,EDB 2020
note,音,樂音 / 律音,EDB 2020
nozzle,噴嘴,,EDB 2020
nuclear,原子核的,,EDB 2020
nuclear energy,核能,,EDB 2020
nuclear energy level,核能級,,EDB 2020
nuclear fission,核裂變,,牛津 Book 5 Ch3
nuclear force,核力,,EDB 2020
nuclear fuel,核燃料,,EDB 2020
nuclear fusion,核聚變,,牛津 Book 5 Ch3
nuclear medicine,核醫學,,EDB 2020
nuclear pile,核反應堆,,EDB 2020
nuclear power,核能,,牛津 Book E3 Ch4
nuclear power plant,核電廠,核能發電廠,EDB 2020
nuclear radiation,核輻射,,牛津 Book 5 Ch1
nuclear reaction,核反應,,EDB 2020
nuclear reactor,核反應堆,,牛津 Book 5 Ch3
nuclear rector,核反應堆,,EDB 2020
nuclear waste,核廢料,,牛津 Book 5 Ch3
nuclear weapon,核武器,,EDB 2020
nucleon,核子,,牛津 Book 5 Ch2
nucleon number,核子數,質量數,EDB 2020
nucleus,原子核,,牛津 Book 4 Ch1
nuclide,核素,,牛津 Book 5 Ch2
object,物,物體,EDB 2020
object distance,物距,,EDB 2020
objective,接物鏡,物鏡,EDB 2020
observatory,天文台,觀象台,EDB 2020
obstacle,障礙物,,EDB 2020
octave,八音度,倍頻程,EDB 2020
Oersted,奧斯特,,EDB 2020
ohm,歐姆,,EDB 2020
Ohm's law,歐姆定律,,EDB 2020
ohmic conductor,歐姆導體,,EDB 2020
ohmic resistor,歐姆電阻器,,EDB 2020
ohmmeter,歐姆計,,EDB 2020
Ohm’ s law,歐姆定律,,牛津 Book 4 Ch2
Ohm’s law,歐姆定律,,牛津 Book 4 Ch2
oil film,油膜,,EDB 2020
old sight,老花,,EDB 2020
old-sightedness / presbyopia,老花,,牛津 Book E4 Ch1
opaque,不透明的,,EDB 2020
open circuit,斷路,開路,EDB 2020
open cluster,疏散星團,,牛津 Book E1 Ch1
open pipe,開管,,EDB 2020
open tube,開管,,EDB 2020
open-loop control system,開環控制系統,,EDB 2020
open-loop voltage gain,開環電壓增益,,EDB 2020
operating voltage,操作電壓,,EDB 2020
operational amplifier,運算放大器,,EDB 2020
opposite phase,反相,,EDB 2020
optic nerve,視神經,,牛津 Book E4 Ch1
optical centre,光心,,EDB 2020
optical density,光學密度,,EDB 2020
optical fibre,光纖,光導纖維（EDB）,牛津 Book 3A Ch2
optical flatness,光學平度,,EDB 2020
optical illusion,光幻象,視錯覺,EDB 2020
optical instrument,光學儀器,,EDB 2020
optical microscope,光學顯微鏡,,EDB 2020
optical path,光程,,EDB 2020
optical path difference,光程差,,EDB 2020
optical system,光學系統,光具組,EDB 2020
optical thickness,光學厚度,,EDB 2020
optically anisotropic,光學各向異性的,,EDB 2020
optically denser medium,光密介質,,EDB 2020
optically isotropic,光學各向同性的,,EDB 2020
optically less dense medium,光疏介質,,EDB 2020
optics,光學,,EDB 2020
orbit,軌道,,EDB 2020
orbital electron,軌道電子,,EDB 2020
orbital motion,軌道運動,,EDB 2020
orbital period,軌道週期,,EDB 2020
orbital plane,軌道平面,,EDB 2020
orbital radius,軌道半徑,,EDB 2020
order of magnitude,數量級,,EDB 2020
ordinary ray,尋常光綫,,EDB 2020
orientation,取向,定向,EDB 2020
orifice,孔,,牛津 Book E4 Ch1
oscillation,振盪,,EDB 2020
oscillator,振盪器,,EDB 2020
oscillatory circuit,振盪電路,,EDB 2020
oscilloscope,示波器,,EDB 2020
Ostwald's viscometer,奧氏黏度計,,EDB 2020
Otto Frisch,弗里施,,牛津 Book 5 Ch3
Otto Hahn,哈恩,,牛津 Book 5 Ch3
out of focus,離焦,,EDB 2020
out of phase,異相,,牛津 Book 3B  Ch4
outer ear,外耳,,牛津 Book E4 Ch2
output,輸出,,EDB 2020
output characteristic,輸出特性,,EDB 2020
output current,輸出電流,,EDB 2020
output power,輸出功率,,EDB 2020
output voltage,輸出電壓,,EDB 2020
oval window,卵圓窗,,牛津 Book E4 Ch2
Overall Thermal Transfer Value (OTTV),總熱傳送值,,牛津 Book E3 Ch3
overdose,過量,,牛津 Book 5 Ch1
overload,超負荷,超載,EDB 2020
overtone,泛音,,EDB 2020
pair production,偶的產生,對的產生,EDB 2020
paradox,悖論,,牛津 Book 2 Ch2
paraffin,石蠟,,EDB 2020
parallax,視差,,牛津 Book E1 Ch3
parallel,平行,,牛津 Book 3A Ch1
parallel axis theorem,平行軸定理,,EDB 2020
parallel beam projector,平行光束投射器,,EDB 2020
parallel circuit,並聯電路,,EDB 2020
parallel forces,平行力,,EDB 2020
parallel rays,平行光綫,,EDB 2020
parallel resonance,並聯共振,,EDB 2020
parallel resonance circuit,並聯共振電路,,EDB 2020
parallel-plate capacitor,平行板電容器,,EDB 2020
parallelogram of forces,力平行四邊形,,EDB 2020
paramagnetism,順磁性,,EDB 2020
parameter,參量,參數,EDB 2020
paraxial ray,傍軸光綫,,EDB 2020
parent nucleus,母核,,EDB 2020
parent nuclide,母核素,,EDB 2020
parking orbit,駐留軌道,,EDB 2020
parsec,秒差距,,EDB 2020
parsec (pc),秒差距,,牛津 Book E1 Ch1
partial polarization,部分偏振,,EDB 2020
partial pressure,分壓強,,EDB 2020
partially polarized wave,部分偏振波,,EDB 2020
particle,粒子,,EDB 2020
particle movement,粒子運動,質點運動,EDB 2020
pascal,帕斯卡,,EDB 2020
Paschen series,帕邢系,帕邢光譜,EDB 2020
path,路程,,EDB 2020
path difference,程差,,牛津 Book 3B  Ch5
Paul Ulrich Villard,維拉德,,牛津 Book 5 Ch1
peak value,峰值,,EDB 2020
peak voltage,峰值電壓,,EDB 2020
peak-to-peak current,峰至峰電流,,EDB 2020
peak-to-peak voltage,峰至峰電壓,,EDB 2020
pendulum,擺,,EDB 2020
penetrating power,穿透能力,貫穿能力（EDB）,牛津 Book 5 Ch1
penetration depth,貫穿深度,穿透深度,EDB 2020
percentage error,百分誤差,,EDB 2020
Percy Spencer,史賓沙,,牛津 Book E3 Ch1
perfectly elastic,完全彈性的,,EDB 2020
perfectly inelastic,完全非彈性的,,EDB 2020
perigee,近地點,,EDB 2020
perihelion,近日點,,牛津 Book E1 Ch2
period,週期,,牛津 Book 3B  Ch4
periodic fading,週期性衰退,,EDB 2020
periodic motion,週期運動,,EDB 2020
periodic table,週期表,,EDB 2020
periscope,潛望鏡,,EDB 2020
permanent magnet,永久磁鐵,永磁體,EDB 2020
permeability of free space,真空磁導率,,EDB 2020
permittivity,電容率,介電常數,EDB 2020
permittivity of free space,真空電容率,,牛津 Book 4 Ch1
perpendicular axis theorem,垂直軸定理,正交軸定理,EDB 2020
perpendicular distance,垂直距離,,EDB 2020
Perrin tube,佩林管,,EDB 2020
perspex,有機玻璃,,EDB 2020
Peter Higgs,希格斯,,牛津 Book E2 Ch2
pharmacological,藥理性,,牛津 Book E4 Ch3
phase,相位,相,牛津 Book E1 Ch1
phase angle,相角,,EDB 2020
phase constant,相位常數,相位常量,EDB 2020
phase difference,相差,相位差,EDB 2020
phase lag,相位滯後,,EDB 2020
phase lead,相位超前,,EDB 2020
phasor,相矢量,相向量,EDB 2020
phon,方,,牛津 Book E4 Ch2
phosphor coating,磷光質塗層,,牛津 Book E3 Ch2
phosphorescence,磷光,,牛津 Book 5 Ch1
photo-timing gate,光控計時門,,EDB 2020
photo-transistor,光敏晶體管,,EDB 2020
photocatalyst,光觸媒,,牛津 Book E2 Ch3
photocell,光電池,,牛津 Book E2 Ch1
photodiode,光電二極管,,EDB 2020
photoelasticity,光測彈性,,EDB 2020
photoelectric cell,光電池,,EDB 2020
photoelectric current,光電流,,牛津 Book E2 Ch1
photoelectric effect,光電效應,,牛津 Book E2 Ch1
photoelectric threshold,光電閾,,EDB 2020
photoelectron,光電子,,牛津 Book E2 Ch1
photographic film,感光底片,,牛津 Book 5 Ch1
photographic negative,照相底片,,EDB 2020
photographic plate,照相底片,感光片,EDB 2020
photon,光子,,牛津 Book E2 Ch1
photosensitive,光敏的,,EDB 2020
photosensitive surface,光敏面,,EDB 2020
photovoltaic cell,光伏電池,,牛津 Book E3 Ch4
photovoltaic effect,光伏效應,,牛津 Book E3 Ch4
physical half-life,物理半衰期,,牛津 Book E4 Ch3
physical optics,物理光學,,EDB 2020
physical property,物理性質,,EDB 2020
physical quantity,物理量,,EDB 2020
pick-up,拾音器,拾音,EDB 2020
piezoelectric effect,壓電效應,,牛津 Book E4 Ch2
piezoelectric transducer,壓電換能器,,EDB 2020
piston,活塞,,EDB 2020
pitch,螺距,音高 / 音調高度 / 音調,EDB 2020
Pitot tube,皮托管,,EDB 2020
pivot,支點,支樞,EDB 2020
Planck constant,普朗克常數,,牛津 Book E2 Ch1
plane mirror,平面鏡,,牛津 Book 3A Ch1
plane of polarization,偏振面,,EDB 2020
plane polarization,平面偏振,,EDB 2020
plane polarized wave,面偏振波,,EDB 2020
plane wave,平面波,,牛津 Book 3B  Ch5
planet,行星,,牛津 Book E1 Ch1
planetary motion,行星運動,,EDB 2020
plano-concave lens,平凹透鏡,,EDB 2020
plano-convex lens,平凸透鏡,,EDB 2020
plastic deformation,塑性形變,,EDB 2020
platinum resistance thermometer,鉑阻溫度計,,EDB 2020
platypus,鴨嘴獸,,牛津 Book 4 Ch1
plug,插頭,,EDB 2020
plutonium,鈈,,EDB 2020
point action,尖端作用,,EDB 2020
point charge,點電荷,,EDB 2020
point mass,點質量,,EDB 2020
point of application of force,施力點,,EDB 2020
point of incidence,入射點,,EDB 2020
point source,點源,,EDB 2020
pointer,指針,,EDB 2020
pointillism,點描法,,牛津 Book E2 Ch3
Poiseuille's formula,泊肅葉公式,,EDB 2020
Poisson's ratio,泊松比,,EDB 2020
polar,帶極性,極性（EDB）,牛津 Book E3 Ch1
polarity,極性,,EDB 2020
polarization,偏振,極化,EDB 2020
polarization grille,偏振柵,,EDB 2020
polarized light,偏振光,,EDB 2020
polarized wave,偏振波,,EDB 2020
polarizer,起偏振器,偏振器,EDB 2020
polarizing angle,起偏振角,偏振角,EDB 2020
polarizing filter,起偏振濾波器,偏振濾波器,EDB 2020
polaroid,偏振片,,EDB 2020
pole,極,,EDB 2020
polonium,釙,,EDB 2020
polyatomic molecule,多原子分子,,EDB 2020
polyethylene,聚乙烯,,EDB 2020
polygon of forces,力多邊形,,EDB 2020
polystyrene bead,聚苯乙烯珠,,EDB 2020
polystyrene cup,聚苯乙烯杯,,EDB 2020
polythene strip,聚乙烯片,,EDB 2020
positive charge,正電荷,,EDB 2020
positive feedback,正反饋,,EDB 2020
positive ion,正離子,,EDB 2020
positive supply rail,正供電軌,,EDB 2020
positive terminal,正端鈕,正接綫柱,EDB 2020
potential barrier,勢壘,位壘,EDB 2020
potential difference,電勢差,電位差,EDB 2020
potential difference (p.d.),電勢差,,牛津 Book 4 Ch2
potential divider,分壓器,,EDB 2020
potential energy,勢能,位能,EDB 2020
potential gradient,勢梯度,位梯度,EDB 2020
potentiometer,分壓器,電勢差計 / 電位差計,EDB 2020
power,功率,,牛津 Book 1 Ch3
power amplifier,功率放大器,,EDB 2020
power distribution,配電,,EDB 2020
power factor,功率因數,,EDB 2020
power generation,發電,,EDB 2020
power loss,功率損失,,EDB 2020
power pack,電源箱,,EDB 2020
power pylon,電纜塔,,EDB 2020
power rating,電功率額定值,,EDB 2020
power station,電力站,發電廠,EDB 2020
power supply,電源,供電,EDB 2020
power supply unit,供電設備,電源箱,EDB 2020
power transistor,功率晶體管,,EDB 2020
power transmission,輸電,,EDB 2020
presbyopia,老花,,EDB 2020
pressure,壓強,,EDB 2020
pressure amplification,壓強增益,,EDB 2020
pressure cooker,高壓鍋,加壓蒸煮器,EDB 2020
pressure gauge,壓強計,,EDB 2020
pressure law,氣壓定律,,EDB 2020
pressurised water reactor,壓水式反應堆,,EDB 2020
pressurized water reactor,壓水式反應堆,,牛津 Book E3 Ch4
primary coil,原線圈,原綫圈（EDB）,牛津 Book 4 Ch8
primary current,原電流,,EDB 2020
primary voltage,原電壓,,EDB 2020
primary winding,原繞組,,EDB 2020
principal axis,主軸,,EDB 2020
principal focus,主焦點,,EDB 2020
principle,原理,,EDB 2020
principle of flotation,浮體原理,,EDB 2020
principle of moments,力矩原理,,EDB 2020
principle of superposition,疊加原理,,EDB 2020
prism,稜鏡,,EDB 2020
prismatic periscope,稜鏡潛望鏡,,EDB 2020
probe,探測器,,EDB 2020
prograde motion,順行,,牛津 Book E1 Ch1
progressive wave,前進波,,EDB 2020
projectile,拋體,拋射體,EDB 2020
projectile motion,拋體運動,,EDB 2020
projection,投影,投射 / 拋射,EDB 2020
projector,投影機,放映機 / 投射器,EDB 2020
prong,音叉臂,,EDB 2020
proof plane,驗電板,,EDB 2020
propagation,傳播,,牛津 Book 3B  Ch4
propeller,推進器,,EDB 2020
property,性質,,EDB 2020
proportionality constant,比例常數,比例常量,EDB 2020
protactinium,鏷,,EDB 2020
protective screen,防護屏,,EDB 2020
proton,質子,,牛津 Book 5 Ch2
proton number,質子數,,EDB 2020
Proxima Centauri,毗鄰星,,牛津 Book E1 Ch1
pseudo-force,假力,偽力,EDB 2020
pulley,滑輪,,EDB 2020
pulmonary function,肺功能,,牛津 Book 4 Ch1
pulse,脈衝,,EDB 2020
pulse-echo,脈衝-回波,,EDB 2020
pump,泵,,EDB 2020
pump storage,抽水蓄能,,EDB 2020
pumped hydroelectric storage system,抽水蓄能系統,,牛津 Book E3 Ch4
pupil,瞳孔,,牛津 Book E4 Ch1
pure note,純音,,EDB 2020
push-button switch,按鈕開關,,EDB 2020
pyrometer,高溫計,,EDB 2020
Pythagoras’ theorem,畢氏定理,,牛津 Book 2 Ch1
quality of note,音品,音質,EDB 2020
quantity of electricity,電量,,EDB 2020
quantization,量子化,,EDB 2020
quantum,量子,,EDB 2020
quantum (pl. quanta),量子,,牛津 Book E2 Ch1
quantum electrodynamics,量子電動力學,,牛津 Book E2 Ch3
quantum mechanics,量子力學,,牛津 Book E2 Ch3
quantum number,量子數,,牛津 Book E2 Ch2
quantum physics,量子物理學,,牛津 Book E2 Ch1
quantum tunnelling,量子隧穿效應,,牛津 Book E2 Ch3
quark,夸克,,牛津 Book E2 Ch2
quarter-wave aerial,四分之一波長天綫,,EDB 2020
quartz,石英,,EDB 2020
quenching agent,猝滅劑,,EDB 2020
quiescent condition,靜止狀態,,EDB 2020
radial acceleration,徑向加速度,,EDB 2020
radial component,徑向分量,,EDB 2020
radial field,輻向場,徑向場,EDB 2020
radial velocity,徑向速度,,牛津 Book E1 Ch3
radial velocity curve,徑向速度曲線,,牛津 Book E1 Ch3
radiation,輻射,,牛津 Book 1 Ch2
radiation hazard,輻射危害性,,EDB 2020
radiation oncology,放射腫瘤學,,EDB 2020
radiation protection,輻射防護,,EDB 2020
radiator,輻射體,散熱器（EDB）,牛津 Book 1 Ch2
radio frequency,射頻,無綫電廣播頻率,EDB 2020
radio telescope,射電望遠鏡,,EDB 2020
radio wave,無綫電波,,EDB 2020
radioactive,放射性,,牛津 Book 5 Ch1
radioactive decay,放射衰變,,牛津 Book 5 Ch2
radioactive disintegration,放射性蛻變,,EDB 2020
radioactive fall-out,放射塵,,EDB 2020
radioactive isotope,放射性同位素,,EDB 2020
radioactive nucleus,放射性核,,EDB 2020
radioactive series,放射系,,EDB 2020
radioactive source,放射源,,EDB 2020
radioactive waste,放射性廢料,,EDB 2020
radioactivity,放射現象,,牛津 Book 5 Ch1
radiographic imaging,放射攝影成像,,EDB 2020
radioisotope,放射性同位素,,牛津 Book 5 Ch2
radiology,放射學,,EDB 2020
radiometer,輻射計,,EDB 2020
radionuclide,放射性核素,,牛津 Book 5 Ch2
radionuclide imaging,放射性核素造影術,,牛津 Book E4 Ch3
radiotherapy,放射療法,,牛津 Book 5 Ch2
radium,鐳,,牛津 Book 5 Ch1
radius of curvature,曲率半徑,,EDB 2020
radius of gyration,迴轉半徑,迴旋半徑,EDB 2020
radon,氡,,EDB 2020
rail,路軌,,EDB 2020
raisin,提子乾,,牛津 Book E1 Ch3
random,無規,隨機,EDB 2020
random error,隨機誤差,,EDB 2020
random motion,無規運動,隨機運動,EDB 2020
random nature,無規性,隨機性,EDB 2020
random walk,無規行走,隨機遊動,EDB 2020
range,射程,範圍（EDB）,牛津 Book 5 Ch1
range-measuring system,測距系統,,EDB 2020
rarefaction,疏部,,牛津 Book 3B  Ch4
rate of decay,衰變率,,EDB 2020
rate of disintegration,蛻變率,,EDB 2020
rated value,額定值,,牛津 Book 4 Ch2
ratemeter,定率計,,EDB 2020
rating,額定值,,EDB 2020
ray,光線,光綫（EDB）,牛津 Book 3A Ch1
ray box,光綫箱,,EDB 2020
ray diagram,光綫圖,,EDB 2020
Rayleigh criterion,瑞利判據,,牛津 Book E2 Ch3
reactance,電抗,,EDB 2020
reaction,反作用,反作用力,EDB 2020
reaction time,反應時間,,牛津 Book 2 Ch1
reactive component,抗性分量,無功分量,EDB 2020
reactor,反應堆,,EDB 2020
reactor core,反應堆堆芯,,EDB 2020
reading error,讀數誤差,,EDB 2020
real depth,實深,,EDB 2020
real expansion,實膨脹,真膨脹,EDB 2020
real focus,實焦點,,EDB 2020
real gas,真實氣體,,EDB 2020
real image,實像,,EDB 2020
real object,實物,實物體,EDB 2020
real-is-positive convention,實正虛負法則,,EDB 2020
receptor absorption curve,感受器吸收曲線,感受器吸收曲綫（EDB）,牛津 Book E4 Ch1
recoil,反衝,彈回,EDB 2020
rectification,整流,,EDB 2020
rectifier,整流器,,EDB 2020
rectilinear motion,直綫運動,,EDB 2020
rectilinear propagation,直綫傳播,,EDB 2020
red giant,紅巨星,,牛津 Book E1 Ch3
red shift,紅移,,牛津 Book E1 Ch3
reduced bearing,象限角,,牛津 Book 2 Ch1
reed,簧片,,EDB 2020
reed relay,簧片繼電器,,EDB 2020
reed switch,簧片開關,,EDB 2020
reference frame,參考座標系,參考系,EDB 2020
reference level,參考級,,EDB 2020
reflectance,反射比,,EDB 2020
reflected ray,反射線,反射綫（EDB）,牛津 Book 3A Ch1
reflected wavefront,反射波陣面,反射波前,EDB 2020
reflecting telescope,反射望遠鏡,,EDB 2020
reflection,反射,,牛津 Book 3A Ch1
reflection grating,反射光柵,,EDB 2020
refracted ray,折射線,折射綫（EDB）,牛津 Book 3A Ch2
refracted wavefront,折射波陣面,折射波前,EDB 2020
refracting angle,折射稜角,,EDB 2020
refracting telescope,折射望遠鏡,,EDB 2020
refraction,折射,,牛津 Book 3A Ch2
refractive index,折射率,,牛津 Book 3A Ch2
refractive index (pl. indices),折射率,,牛津 Book 3A Ch2
refrigerant,製冷劑,雪種,牛津 Book E3 Ch1
refrigerator,冰箱,,EDB 2020
regenerative braking system,再生制動系統,,牛津 Book E3 Ch3
regular reflection,單向反射,,牛津 Book 3A Ch1
relative density,相對密度,,EDB 2020
relative motion,相對運動,,EDB 2020
relative permeability,相對磁導率,,EDB 2020
relative permittivity,相對電容率,相對介電常數,EDB 2020
relative velocity,相對速度,,EDB 2020
relativity,相對論,相對性,EDB 2020
relay,繼電器,,EDB 2020
relay coil,繼電器綫圈,,EDB 2020
relay contact,繼電器觸點,,EDB 2020
rem,雷姆,,EDB 2020
remote control,遙控,,EDB 2020
renewable energy source,可再生能源,,牛津 Book E3 Ch4
repulsion,相斥,,EDB 2020
repulsive force,斥力,,EDB 2020
reservoir capacitor,存儲電容器,,EDB 2020
reset switch,重定開關,,EDB 2020
residual heat,餘熱,,牛津 Book E3 Ch4
resistance,電阻,,牛津 Book 4 Ch2
resistance coil,電阻綫圈,,EDB 2020
resistance substitution box,換值電阻箱,,EDB 2020
resistance thermometer,電阻温度計,電阻溫度計（EDB）,牛津 Book 1 Ch1
resistive component,電阻分量,有功分量,EDB 2020
resistivity,電阻率,,牛津 Book 4 Ch2
resistor,電阻器,,EDB 2020
resolution,解像度,,牛津 Book E2 Ch3
resolution of force,力的分解,,EDB 2020
resolution of vector,矢量的分解,向量的分解,EDB 2020
resolving power,分辨率,解像能力（EDB）,牛津 Book E2 Ch3
resonance,共振,共鳴,EDB 2020
resonance tube,共鳴管,,EDB 2020
resonant frequency,共振頻率,,EDB 2020
resonator,共振器,,EDB 2020
response time,響應時間,,EDB 2020
restoring couple,回復力偶,,EDB 2020
restoring force,回復力,,EDB 2020
restoring torque,回復轉矩,,EDB 2020
resultant,合量,,EDB 2020
resultant displacement,合位移,,EDB 2020
resultant force,合力,,EDB 2020
resultant of vector,合矢量,合向量,EDB 2020
resultant velocity,合速度,,EDB 2020
retard,減速,,EDB 2020
retardation,減速度,,EDB 2020
retina,視網膜,,牛津 Book E4 Ch1
retort stand,鐵支架,鐵架,EDB 2020
retrograde motion,逆行,,牛津 Book E1 Ch1
returning capsule,返回艙,,EDB 2020
reverberation,混響,,EDB 2020
reverberation time,混響時間,,EDB 2020
reverse biased,反向偏壓,,EDB 2020
reverse current,反向電流,,EDB 2020
reverse cycle air conditioner,冷暖空調機,,牛津 Book E3 Ch1
reversibility of light,光的可逆性,,EDB 2020
reversible process,可逆過程,,EDB 2020
reversing switch,換向開關,,EDB 2020
revolution,繞轉,旋轉 / 轉數,EDB 2020
Reynolds number,雷諾數,,EDB 2020
rheostat,變阻器,,牛津 Book 4 Ch2
Richard Feynman,費曼,,牛津 Book E2 Ch3
right-angled fork track,直角分叉徑跡,,牛津 Book 5 Ch1
right-hand grip rule,右手握拳定則,,EDB 2020
right-hand screw rule,右手螺旋定則,,EDB 2020
rigid body,剛體,,EDB 2020
rigidity,剛性,剛度 / 剛度係數,EDB 2020
ring circuit,環形電路,,EDB 2020
ripple,水波,,EDB 2020
ripple tank,水波槽,,牛津 Book 3B  Ch5
river estuary,河口,,牛津 Book E3 Ch4
Robert Millikan,密立根,,牛津 Book 4 Ch1
rocket,火箭,,EDB 2020
rod cell,視桿細胞,,牛津 Book E4 Ch1
rolling,滾動,,EDB 2020
rolling friction,滾動摩擦,,EDB 2020
root-mean-square value,方均根值,,EDB 2020
rotary thermometer,轉動式溫度計,,EDB 2020
rotary-type potentiometer,旋轉分壓器,旋轉電勢差計 / 旋轉電位差計,EDB 2020
rotating platform,旋轉台,,EDB 2020
rotating vector,轉動矢量,轉動向量,EDB 2020
rotation,旋轉,自轉 / 轉動,EDB 2020
rotation curve,旋轉曲線,,牛津 Book E1 Ch3
rotational energy,轉動能,,EDB 2020
rotational motion,旋轉運動,,EDB 2020
rotor,轉子,,牛津 Book E3 Ch4
rubber tubing,橡膠管,,EDB 2020
rule,定則,法則,EDB 2020
ruling,刻度,劃綫,EDB 2020
runway,跑道,,EDB 2020
Rutherford scattering,盧瑟福散射,,EDB 2020
Rutherford's atomic model,盧瑟福原子模型,,EDB 2020
Rydberg constant,里德伯常數,里德伯常量,EDB 2020
safety device,安全裝置,,EDB 2020
satellite,衞星,衛星（EDB）,牛津 Book E1 Ch1
satellite communication,衛星通訊,,EDB 2020
saturated current,飽和電流,,牛津 Book E2 Ch1
saturated vapour,飽和蒸氣,飽和汽,EDB 2020
saturated vapour pressure,飽和蒸氣壓,飽和汽壓,EDB 2020
saturation,飽和,,EDB 2020
saturation current,飽和電流,,EDB 2020
sawtooth voltage,鋸齒波電壓,,EDB 2020
scalar,標量,無向量,牛津 Book 2 Ch1
scalar product,標積,無向積,EDB 2020
scale,標度,比例尺 / 音階,EDB 2020
scaler,脈衝計數器,,EDB 2020
scan,掃描,,EDB 2020
scanning tunnelling microscope,掃描隧穿顯微鏡,,牛津 Book E2 Ch3
scanning tunnelling microscope (STM),掃描隧穿顯微鏡,,EDB 2020
scattering,散射,,牛津 Book E4 Ch2
scattering analogue,散射模擬,,EDB 2020
scattering angle,散射角,,EDB 2020
scintillation,閃爍,,EDB 2020
screen,屏,幕,EDB 2020
screened lead,屏蔽導綫,,EDB 2020
screw,螺旋,螺絲釘,EDB 2020
screw driver,螺釘起子,螺絲批,EDB 2020
screw jack,螺旋起重器,,EDB 2020
sealed radioactive source,密封放射源,,EDB 2020
search coil,探察綫圈,,EDB 2020
second,秒,,EDB 2020
second (s),秒,,牛津 Book 2 Ch1
second law of thermodynamics,熱力學第二定律,,EDB 2020
second order spectrum,第二級光譜,第二級譜,EDB 2020
secondary coil,副線圈,副綫圈（EDB）,牛津 Book 4 Ch8
secondary current,副電流,,EDB 2020
secondary emission,次級發射,,EDB 2020
secondary voltage,副電壓,,EDB 2020
secondary winding,副繞組,,EDB 2020
Seebeck effect,塞貝克效應,,EDB 2020
selective absorption,選擇吸收,,EDB 2020
self inductance,自感,,EDB 2020
self induction,自感應,,EDB 2020
semi-major axis,半長軸,,牛津 Book E1 Ch2
semicircular glass block,半圓玻璃塊,,EDB 2020
semiconductor,半導體,,牛津 Book 4 Ch2
semiconductor diode,半導體二極管,,EDB 2020
semolina,粗粒小麥粉,粗粒麥粉（EDB）,牛津 Book 4 Ch1
sensitivity,靈敏度,,EDB 2020
sensor,感應器,傳感器,EDB 2020
sequential logic,順序邏輯,,EDB 2020
series circuit,串聯電路,,EDB 2020
series resonance circuit,串聯共振電路,,EDB 2020
series-wound motor,串激電動機,串繞電動機,EDB 2020
set switch,設定開關,,EDB 2020
shaft,軸,,EDB 2020
shale,頁岩,,牛津 Book E3 Ch4
shale gas,頁岩氣,,牛津 Book E3 Ch4
shear force,切力,剪力,EDB 2020
shear modulus,切變模量,剪模量 / 剪切模量,EDB 2020
shear strength,切變強度,剪切強度,EDB 2020
shear stress,切應力,剪應力,EDB 2020
Shenzhou manned spacecraft,神舟載人飛船,,EDB 2020
shock waves,衝擊波,震波,EDB 2020
short circuit,短路,,EDB 2020
short sight,近視,,EDB 2020
short wave,短波,,EDB 2020
short-sightedness / myopia,近視,,牛津 Book E4 Ch1
shunt,分流器,分流 / 分路,EDB 2020
shunt-wound motor,並激電動機,並繞電動機,EDB 2020
shutter,快門,光閘,EDB 2020
SI unit,國際單位制單位,,牛津 Book 2 Ch1
sievert,希沃特,,EDB 2020
sievert (Sv),希沃特,,牛津 Book 5 Ch1
sign convention,符號法則,,EDB 2020
signal generator,訊號產生器,,EDB 2020
significant figure,有效數字,,牛津 Book 1 Ch3
silicon,硅,矽,EDB 2020
simple harmonic motion,簡諧運動,,EDB 2020
simple pendulum,單擺,,EDB 2020
simulation,模擬,,EDB 2020
single phase a.c. generator,單相交流發電機,,EDB 2020
single pulley,單滑輪,,EDB 2020
single slit,單縫,,EDB 2020
single trace oscilloscope,單跡示波器,,EDB 2020
single-pole double-throw switch,單刀雙擲開關,,EDB 2020
sinusoidal wave,正弦波,,EDB 2020
sky map (or star chart),星圖,,牛津 Book E1 Ch1
skylight,天窗,,牛津 Book E3 Ch3
slab-shaped magnet,平板形磁鐵,,EDB 2020
slide projector,幻燈片放映機,,EDB 2020
slide-wire potentiometer,滑綫分壓器,滑綫電勢差計 / 滑綫電位差計,EDB 2020
sliding contact,滑動接觸,,EDB 2020
sliding friction,滑動摩擦,,EDB 2020
slinky spring,軟彈簧,,EDB 2020
slip ring,匯電環,,EDB 2020
slit,縫,狹縫,EDB 2020
slope,斜率,,EDB 2020
slotted weight,有槽砝碼,,EDB 2020
slum,貧民窟,,牛津 Book 3A Ch2
smoke cell,烟霧盒,,EDB 2020
smoothing,濾波,平流,EDB 2020
smoothing capacitor,濾波電容器,平流電容器,EDB 2020
smoothing choke,濾波扼流圈,平流扼流圈,EDB 2020
smoothing circuit,濾波電路,平流電路,EDB 2020
Snell's law,斯涅耳定律,,EDB 2020
Snell’ s law,斯涅耳定律,,牛津 Book 3A Ch2
Snell’s law,斯涅耳定律,,牛津 Book 3A Ch2
socket,插座,,EDB 2020
sodium lamp,鈉燈,,EDB 2020
soft iron,軟鐵,,EDB 2020
soft iron core,軟鐵心,,EDB 2020
solar cell,太陽能電池,,牛津 Book E3 Ch4
